username,first_name,last_name,dob,pan,education,capital,income,debt,interest,credit_score,repayment
scelerisque@auctornuncnulla.net,Winifred,Blackwell,93-12-19,GBECV33995,4,602729,34249,89149,6,895,Yes
laoreet.libero.et@interdumCurabitur.co.uk,Jeremy,Reynolds,94-12-21,ZVUJC43208,3,522962,31198,22102,4,734,No
ante.lectus@Loremipsum.net,Sophia,Bullock,58-03-11,FJTQA45048,5,384327,77698,57339,9,413,No
purus.Nullam@aliquamadipiscinglacus.net,Bethany,Stanton,73-05-31,UYJIV91565,4,245708,72072,32324,7,820,Yes
et.arcu.imperdiet@utnisia.edu,Phoebe,Edwards,86-03-06,OKFER10062,1,377158,66298,33749,4,372,No
quis.arcu@enimnon.ca,Declan,Tillman,85-03-23,CQZDJ29244,2,714939,28221,57314,10,328,Yes
Donec@parturientmontesnascetur.edu,Hilel,Brock,80-04-01,HHLFG23363,4,415774,22941,44601,7,643,No
Mauris.magna@nuncQuisque.net,Elmo,Nicholson,65-12-27,LUKEW10096,3,510738,59326,25717,8,921,No
rutrum.urna.nec@mattisInteger.net,Cedric,Nichols,93-12-08,VANAP70868,5,684542,33721,44988,6,572,No
velit.Aliquam@ornare.co.uk,Jade,Rasmussen,82-01-28,OZGRS34139,4,984196,77264,61250,3,665,Yes
Morbi@aaliquet.edu,Samuel,Stewart,94-05-02,XYTTT73926,2,763182,97235,79773,6,507,Yes
nec.tellus.Nunc@nibh.com,Geraldine,Whitehead,78-04-02,TOYKT25546,5,580733,96525,89751,3,986,Yes
lectus.a.sollicitudin@ultricesaauctor.net,Lionel,Guerra,69-02-13,OICPC39575,2,886791,76283,94003,5,523,Yes
ac.metus.vitae@fringillaornare.net,Hilary,Owens,58-03-27,GCQJL57682,1,949845,78931,27369,9,311,No
dolor.quam@massa.co.uk,Amy,Osborne,69-12-12,LXQKQ94045,2,987156,28228,43799,7,871,No
Praesent.eu@magna.edu,Josephine,Vaughn,68-04-13,LCNVO66829,3,495129,83700,71630,10,582,No
magna.Duis@sit.edu,Diana,Swanson,65-07-21,QRETD29626,4,242373,98756,77720,6,595,No
Aenean.euismod@nuncsit.co.uk,Christopher,Mccray,85-01-17,ASDXY23445,5,590535,41243,68573,6,564,Yes
faucibus.ut.nulla@amet.edu,Kiara,Coleman,57-11-07,CFHKY58213,5,349341,28214,16939,4,919,No
